lap,stint,tyre,grip,temp,lap_time_s,clima
1,1,C1,0.7551,70.8,76.14,Seco
2,1,C1,0.7581,71.5,75.747,Seco
3,1,C1,0.7612,72.3,75.823,Seco
4,1,C1,0.7643,73.0,75.746,Seco
5,1,C1,0.7673,73.8,75.774,Seco
6,1,C1,0.7704,74.6,75.689,Seco
7,1,C1,0.7735,75.3,75.796,Seco
8,1,C1,0.7765,76.1,75.633,Seco
9,1,C1,0.7796,76.8,75.741,Seco
10,1,C1,0.7827,77.6,75.537,Seco
11,1,C1,0.7857,78.4,75.317,Seco
12,1,C1,0.7888,79.1,75.498,Seco
13,1,C1,0.7919,79.9,75.596,Seco
14,1,C1,0.7949,80.6,75.618,Seco
15,1,C1,0.798,81.4,75.531,Seco
16,1,C1,0.8011,82.2,75.392,Seco
17,1,C1,0.8041,82.9,75.434,Seco
18,1,C1,0.8072,83.7,75.358,Seco
19,1,C1,0.8103,84.4,75.491,Seco
20,1,C1,0.8107,85.2,75.212,Seco
21,1,C1,0.8036,86.0,75.596,Seco
22,1,C1,0.7965,86.7,75.382,Seco
23,1,C1,0.7895,87.5,75.64,Seco
24,1,C1,0.7824,88.2,75.778,Seco
25,1,C1,0.7753,89.0,75.716,Seco
26,1,C1,0.7683,89.8,75.732,Seco
27,PIT,Cambio,,,21.0,Seco
28,2,C1,0.7551,70.8,75.926,Seco
29,2,C1,0.7581,71.5,75.73,Seco
30,2,C1,0.7612,72.3,75.744,Seco
31,2,C1,0.7643,73.0,75.792,Seco
32,2,C1,0.7673,73.8,75.95,Seco
33,2,C1,0.7704,74.6,75.608,Seco
34,2,C1,0.7735,75.3,75.631,Seco
35,2,C1,0.7765,76.1,75.71,Seco
36,2,C1,0.7796,76.8,75.717,Seco
37,2,C1,0.7827,77.6,75.566,Seco
38,2,C1,0.7857,78.4,75.473,Seco
39,2,C1,0.7888,79.1,75.559,Seco
40,2,C1,0.7919,79.9,75.449,Seco
41,2,C1,0.7949,80.6,75.53,Seco
42,2,C1,0.798,81.4,75.341,Seco
43,2,C1,0.8011,82.2,75.445,Seco
44,2,C1,0.8041,82.9,75.721,Seco
45,2,C1,0.8072,83.7,75.338,Seco
46,2,C1,0.8103,84.4,75.266,Seco
47,2,C1,0.8107,85.2,75.283,Seco
48,2,C1,0.8036,86.0,75.46,Seco
49,2,C1,0.7965,86.7,75.314,Seco
50,2,C1,0.7895,87.5,75.737,Seco
51,2,C1,0.7824,88.2,75.606,Seco
52,2,C1,0.7753,89.0,75.49,Seco
53,2,C1,0.7683,89.8,75.689,Seco
54,PIT,Cambio,,,21.0,Seco
55,3,C1,0.7551,70.8,75.941,Seco
56,3,C1,0.7581,71.5,75.778,Seco
57,3,C1,0.7612,72.3,75.661,Seco
58,3,C1,0.7643,73.0,75.753,Seco
59,3,C1,0.7673,73.8,75.622,Seco
60,3,C1,0.7704,74.6,75.734,Seco
61,3,C1,0.7735,75.3,75.72,Seco
62,3,C1,0.7765,76.1,75.864,Seco
63,3,C1,0.7629,74.3,87.087,Lluvia intensa
64,3,C1,0.7493,72.6,87.2,Lluvia intensa
65,3,C1,0.7357,70.9,87.333,Lluvia intensa
66,3,C1,0.7221,69.1,87.427,Lluvia intensa
67,3,C1,0.7085,67.4,87.826,Lluvia intensa
68,3,C1,0.6949,65.6,87.531,Lluvia intensa
69,3,C1,0.698,66.4,76.345,Seco
70,3,C1,0.7011,67.2,75.994,Seco
71,3,C1,0.7041,67.9,76.248,Seco
72,3,C1,0.7072,68.7,76.197,Seco
73,3,C1,0.7103,69.4,76.017,Seco
74,3,C1,0.7133,70.2,120.87,Seco
75,3,C1,0.7164,71.0,76.361,Seco
76,3,C1,0.7195,71.7,76.153,Seco
77,3,C1,0.7225,72.5,76.106,Seco
78,3,C1,0.7256,73.2,76.075,Seco
79,3,C1,0.7287,74.0,75.999,Seco
80,3,C1,0.7317,74.8,75.891,Seco
