lap,stint,tyre,grip,temp,lap_time_s,clima
1,1,C3,0.9051,70.8,70.201,Seco
2,1,C3,0.9069,71.5,70.354,Seco
3,1,C3,0.9088,72.3,70.318,Seco
4,1,C3,0.9107,73.0,70.103,Seco
5,1,C3,0.9125,73.8,70.123,Seco
6,1,C3,0.9144,74.6,70.311,Seco
7,1,C3,0.9163,75.3,70.24,Seco
8,1,C3,0.9181,76.1,70.133,Seco
9,1,C3,0.92,76.8,70.04,Seco
10,1,C3,0.9219,77.6,70.319,Seco
11,1,C3,0.9237,78.4,70.234,Seco
12,1,C3,0.9256,79.1,70.45,Seco
13,1,C3,0.9275,79.9,70.277,Seco
14,1,C3,0.9293,80.6,70.451,Seco
15,1,C3,0.9312,81.4,70.072,Seco
16,1,C3,0.9331,82.2,70.019,Seco
17,1,C3,0.9349,82.9,70.164,Seco
18,1,C3,0.9368,83.7,69.898,Seco
19,1,C3,0.9387,84.4,70.11,Seco
20,1,C3,0.9379,85.2,70.151,Seco
21,1,C3,0.9296,86.0,69.883,Seco
22,1,C3,0.9213,86.7,70.355,Seco
23,1,C3,0.9131,87.5,70.518,Seco
24,1,C3,0.9048,88.2,70.43,Seco
25,1,C3,0.8965,89.0,70.499,Seco
26,1,C3,0.8883,89.8,70.483,Seco
27,PIT,Cambio,,,21.0,Seco
28,2,C3,0.9051,70.8,70.366,Seco
29,2,C3,0.9069,71.5,70.213,Seco
30,2,C3,0.9088,72.3,70.155,Seco
31,2,C3,0.9107,73.0,70.348,Seco
32,2,C3,0.9125,73.8,70.241,Seco
33,2,C3,0.9144,74.6,70.214,Seco
34,2,C3,0.9163,75.3,70.112,Seco
35,2,C3,0.9181,76.1,70.116,Seco
36,2,C3,0.92,76.8,70.429,Seco
37,2,C3,0.9219,77.6,70.169,Seco
38,2,C3,0.9237,78.4,70.254,Seco
39,2,C3,0.9256,79.1,70.207,Seco
40,2,C3,0.9275,79.9,69.926,Seco
41,2,C3,0.9293,80.6,69.862,Seco
42,2,C3,0.9312,81.4,70.041,Seco
43,2,C3,0.9331,82.2,70.107,Seco
44,2,C3,0.9349,82.9,70.202,Seco
45,2,C3,0.9368,83.7,70.131,Seco
46,2,C3,0.9387,84.4,69.953,Seco
47,2,C3,0.9379,85.2,70.119,Seco
48,2,C3,0.9296,86.0,70.148,Seco
49,2,C3,0.9213,86.7,70.373,Seco
50,2,C3,0.9131,87.5,70.215,Seco
51,2,C3,0.9048,88.2,70.092,Seco
52,2,C3,0.8965,89.0,70.675,Seco
53,2,C3,0.8883,89.8,70.129,Seco
54,PIT,Cambio,,,21.0,Seco
55,3,C3,0.9051,70.8,70.291,Seco
56,3,C3,0.9069,71.5,70.292,Seco
57,3,C3,0.9088,72.3,70.567,Seco
58,3,C3,0.9107,73.0,70.475,Seco
59,3,C3,0.9125,73.8,70.212,Seco
60,3,C3,0.9144,74.6,128.983,Seco
61,3,C3,0.9163,75.3,70.219,Seco
62,3,C3,0.9181,76.1,70.071,Seco
63,3,C3,0.92,76.8,70.212,Seco
64,3,C3,0.9219,77.6,70.212,Seco
65,3,C3,0.9237,78.4,85.374,Seco
66,3,C3,0.9256,79.1,70.274,Seco
67,3,C3,0.9275,79.9,70.178,Seco
68,3,C3,0.9293,80.6,70.164,Seco
69,3,C3,0.9312,81.4,70.378,Seco
70,3,C3,0.9331,82.2,69.963,Seco
71,3,C3,0.9349,82.9,70.06,Seco
72,3,C3,0.9368,83.7,70.071,Seco
73,3,C3,0.9387,84.4,127.731,Seco
74,3,C3,0.9379,85.2,70.078,Seco
75,3,C3,0.9296,86.0,70.179,Seco
76,3,C3,0.9213,86.7,70.292,Seco
77,3,C3,0.9131,87.5,70.174,Seco
78,3,C3,0.9048,88.2,113.091,Seco
79,3,C3,0.8965,89.0,70.557,Seco
80,3,C3,0.8883,89.8,70.416,Seco
