lap,stint,tyre,grip,lap_time_s
1,1,C2,0.736,73.015
2,1,C2,0.7281,72.961
3,1,C2,0.7202,72.964
4,1,C2,0.7122,73.092
5,1,C2,0.7043,73.199
6,1,C2,0.6964,73.091
7,1,C2,0.6885,73.456
8,1,C2,0.6806,73.593
9,1,C2,0.6726,73.438
10,1,C2,0.6647,73.635
11,1,C2,0.6568,73.817
12,1,C2,0.6489,73.833
13,1,C2,0.641,73.832
14,1,C2,0.633,73.922
15,1,C2,0.6251,73.713
16,1,C2,0.6172,73.926
17,1,C2,0.6093,73.782
18,1,C2,0.6014,74.063
19,PIT,Cambio,,23.0
20,2,C3,0.8,70.466
21,2,C3,0.7881,70.706
22,2,C3,0.7762,70.31
23,2,C3,0.7644,70.433
24,2,C3,0.7525,70.704
25,2,C3,0.7406,70.712
26,2,C3,0.7287,71.05
27,2,C3,0.7168,70.933
28,2,C3,0.705,70.739
29,2,C3,0.6931,71.051
30,2,C3,0.6812,71.462
31,2,C3,0.6693,71.215
32,2,C3,0.6574,71.146
33,2,C3,0.6456,71.438
34,2,C3,0.6337,71.447
35,2,C3,0.6218,71.841
36,2,C3,0.6099,72.005
37,2,C3,0.598,71.833
38,PIT,Cambio,,23.0
39,3,C1,0.68,75.523
40,3,C1,0.6751,75.648
41,3,C1,0.6701,75.671
42,3,C1,0.6652,75.956
43,3,C1,0.6602,75.799
44,3,C1,0.6552,75.806
45,3,C1,0.6503,75.962
46,3,C1,0.6454,75.992
47,3,C1,0.6404,75.827
48,3,C1,0.6355,76.204
49,3,C1,0.6305,75.961
50,3,C1,0.6256,76.304
51,3,C1,0.6206,75.993
52,3,C1,0.6157,76.214
53,3,C1,0.6107,76.354
54,3,C1,0.6058,76.396
55,3,C1,0.6008,76.447
